label,Question 
valid,Example of an inefficient management from my work experience and how I will handle such situations now
valid,What do you know about ZS? What do you think worked for you in the ZS Case Competition (I was on winning team of ZS Competition)
valid,Any Questions for ZS?
valid,Case questions: Graphs of the company and its competitors products. I was asked to interpret the graphs
valid,Survey results about the product perceptions. Again read and interpret
valid,Calculation based questions \xc3\xa2\xe2\x82\xac\xe2\x80\x9c Some data was provided but I have to interpret the same and conduct the calculations
valid,I was provided a packet that consisted of Shareholder\xc3\xa2\xe2\x82\xac\xe2\x84\xa2s report, CEO messages, Market Survey Reports, Newspaper Cuttings and other such documents. The whole thing was loosely organized. In 40 minutes, I was tasked to go through the material and prepare a presentation for \xc3\xa2\xe2\x82\xac\xc5\x93What is wrong with the company. What are your suggestions to improve the situation\xc3\xa2\xe2\x82\xac\xc2\x9d?
valid,PI questions: Why ZS? What do you know about ZS?
valid,Why should we hire you?
valid,How will your past experience be relevant?
valid,Any questions you have for me?
valid,Case Study: There was a numerical type questions. It was about allocation of resources to different activities based on graphical interpretation of payoffs. I was required to determine the exact division
valid,Finding the average profit on a given loan
valid,Choosing between two marketing schemes
valid,Economics of setting up a new ATM
valid,Tell us a time when you asked your peers for help and what was the result
valid,Tell us a time when you had to learn something new for an assignment/project
valid,Tell us a time when you delivered results in a short deadline while working in a team
valid,What is race condition and how can it be eliminated
valid,What is JCube?
valid,What is regression testing?
invalid,Discussion on different sorting techniques
invalid,Discussion on SQL and SQL optimisaion
valid,Software engineering principles
valid,Java and OOP's question
valid,Define Singleton class
valid,Explain Testing principles and Design principles
valid,Types of machine learning and methods and examples, they may give you a situation and ask you which technique is good and why
valid,Why choose you for VISA?
valid,Which profile is good for you?
valid,About the work culture at VISA Inc
valid,If u already have a placement, why this company
valid,Estimate the total revenue of the cabs on Lucknow Airport
valid,To advise an Indian Airline company on a new policy which will increase their revenue
valid,General Round about your background
valid,Multiple
valid,PI question: Experiences where you led a team or motivated a team
valid,What issues you faced.  How did you resolve them?
valid,Multiple
valid,Find and element in a rotated array
valid,Given two linked lists both represent a number . Create a linked list that contains its sum
valid,You have to design a Text Editor like notepad . You are concerned about the following functionalities - insert, delete, and search.You can assume the other functionalities of the text editor like save , display of text,etc are handled by some other developer. You just have to suggest what kind of data structures you would use to carry out the concerned functionalities efficiently
invalid,he asked me about the question given to me in the previous round i.e Text Editor . I gave him a brief explanation on my approach . He then gave me another question based on Text Editor. He asked me how could I retrieve K most Frequent words from the text efficiently
valid,Given a binary search tree , print the path which has the sum equal to k and has minimum hops. i.e if there are multiple paths with the sum equal to k then print the path with minimum number of nodes
invalid,2-3 Questions on my CV, my goals in life
valid,List all the relevant things if you were to float a tender for ordering tube lights if hypothetically you were the head of the engineering cell of your college ?
valid,You have 3 slices of bread, and a toaster. You can put in 2 slices of bread at a time. Each time, only one side of the bread gets cooked. How much minimum time is needed for cooking 3 slices on both sides ?
valid,You have 20 red balls, 14 blue balls. You draw out balls, 2 at a time. If they are of same color, add a blue ball the pile. If the are of different colors, add a red ball to the pile. (i) will the color of the last call left be unique ? (ii) if yes, then what's the color ?
valid,From a deck of cards, you pick out one card at a time, 3 times, with replacement. What's the probability of getting a sequence, where a sequence is defined as consecutive integers drawn in any order ?
invalid,Same questions, without replacement
valid,I consider a domestic airliner, pull out all the seats, and fill it up with tennis balls. How many can I fit inside ?
valid,Your contribution in your projects?
valid,How you resolve problems within team?
valid,What are your expectations from the company?
valid,Do you have any plans of higher studies?
valid,How flexible you are in professional life?
valid,Tell me about your self?
valid,WRITE A GENERIC SWAP FUNCTION
valid,SEARCH AN ELEMENT IN ROTATED SORTED LINKLIST .
valid,SEARCH AN ELEMENT IN ROTATED SORTED ARRAY. WRITED A CODE FOR IT
valid,In an Array of size 95 contain numbers in range 1 to 100. each number is at max once in the array.  find the 5 missing numbers in array between 1-100
valid,given sudoku as id array of size . in a given empty cell find the possible numbers that could be possible. Asked me to write code for it
valid,given 4 unsigned integers find their integer average (eg. (2,2,2,3) => (2+2+2+3)/4 = 2) consider integer division ) without typecasting
valid,Write a code to identify wheter given processor is of 32 bit architecture or 64 bit architecture
valid,convert a binary number into  base 64 integer
valid,Dice rolled several times until sum of outcomes till now comes greater than equal to  hundred. What is most likely number to occur as final sum?
invalid,Discussion on one of the project
valid,Given a matrix containing several positive numbers find max path from bottom left to top right using  only up and right steps
valid,Cutting three random points on the circle of radius 1 centered at (0,0) . What is probability that point (1,0) lies in longest cut
valid,Why EXL?
valid,How NCFM has helped you?
valid,Let's say you are an airline company wanting to enter India, how many flights you will introduce on Delhi Calcutta route
valid,Why there are only 30 rows in airplane? What if number of rows are changed, how will it affect our profits?
valid,By how much precent flipkart should increase its inventory of mobile phones during Diwali season?
valid,Since, one of my past internships was on Insurance and the interviewer was a insurance domain consultant, a few questions on concepts of Catastrophe model. Eg. How risk is calculated? what are depth damage curves? what is exccedence curve?
valid,Some very basic concepts of data analysis, Eg, what is adjusted r squared? what is degree of freedom?
valid,Quickly walk through CV
valid,How many lines can be constructed using 5 non collinear points and 3 collinear points?
valid,How did you get interest in Data Analytics?
valid,Since, I mentioned about a PAN IIT Data Analytics Competition by AMEX, Explain the problem statement and how did you solve the problem? Explain the techniques you used?
valid,Why finance? Why not your core branch?
invalid,Questions regarding financial intruments like derivatives, forwards-futures, options etc
valid,How would you fit in? (give me some reasons to hire you)
valid,Some highlights from your resume?
valid,What does Bank of America do?
valid,What is investment banking?
valid,PI questions:Tell me something about yourself?
valid,How would your team members at work describe you?
valid,What is your most memorable achievement in life?
invalid,Some discussion about the article I had written in WSJ about Green  Business
valid,Case Questions:How should India reduce its Carbon Intensity by 25%?  (Case type:Public Policy)
invalid,PI questions: Questions about my work experience at ITC
valid,How was life at ISB?
invalid,Some questions about my co-curricular activities at ISB
valid,5 words that my team members would use to describe me
valid,General discussion about ITC and whether everybody in ITC smokes
valid,Case Questions: Valuation for a hotel chain that has existing hotels and new hotels in different stages of completion (Case type:Valuation)
valid,PI questions: Tell me something about yourself?
valid,Why Mckinsey?
valid,Life at ISB
valid,My most significant leadership experience
valid,Questions about work experience at ITC
valid,Case Questions: How do you improve the performance of a Call Center? (Case type:Operations)
valid,Case Questions: He said our client owns a hospital that has 10 Operation Theatres. There are three types of diseases for which they are used :\tCardiac surgeries :\tOrthopedic surgeries :\tGastrointestinal surgeries The client feels that he can do more operations per day and has asked us to look into it. What do we do? (Case type:Operations \xc3\xa2\xe2\x82\xac\xe2\x80\x9c Optimizing resource utilization, efficiency, redesigning the process, reallocating the resources.)
valid,PI questions:Tell me about yourself
valid,If I am given a chance to change one thing about India, what it would be.
valid,What I believed was the ability common to all the leaders?
valid,Case Questions:I have forgotten exactly what case it was but it was about market entry. It wasn\xc3\xa2\xe2\x82\xac\xe2\x84\xa2t very different from the standard market entry cases you will have done in your case preparation groups by the interview day. No catches here.  (Case type:Market Entry)
valid,PI questions:Any specific reasons for choosing IIT Roorkee?\xc3\xa2\xe2\x82\xac\xc2\x9d
valid,Looking at your engineering entrance exams ranks, UG record and GMAT, why are you not 4.0 here?
valid,Give me an example where you led people
valid,Case Questions:He told me that our client was some iron and steel company who used coal extensively in their operations. Currently <some capacity> was their plant capacity that required <some amount> amount of coal per quarter. The sources of coal in India were < some sources> whose production was also limited to <some capacity> and hence currently the demand and supply of coal matched. Our client was planning to increase its capacity to <some capacity> in the next one year. Can you design their coal strategy for the short, medium, and long terms?  (Case type:Supply Chain Strategy)
invalid,practical implementations of OS?
valid,real time networking, i.e. ip networking
invalid,some questions on digital communication and band width distribution
invalid,deep discussion on projects done and especially minor project
valid,Case Study: Why a drug was suddenly not doing well when compared to its competitors? Three calculations on sales force optimization. (Case Type: Quantitative and Qualitative Analysis including precise calculations. Some amount of Data Interpretation.)
valid,Case Study: How to turn an ice cream chain profitable?
valid,What should be the acquisition strategy for this chain?
valid,At what locations should new parlors be opened?
valid,PI questions: How has the ISB experience for you been?
valid,Why Diamond? Why not some other consulting organization?
valid,Case Study: A big client wants to set up after-sales repair shops/stations in India. Please advise them. (Case Type: Market entry and market estimation)
valid,PI questions: Why Diamond? Why should you not join some other consulting organization? You must know all other shortlists; why should we take you and not them?
valid,Case Question: A street hawker has been selling coconut water in a high-rise residential area for last few months. He has been making good sales and is now thinking of selling fresh juice also. You go over to him one day to have coconut water and he asks you whether he should start selling juices or not? (Case Type: New product launch, and market estimation)
invalid,PI questions: How has recession affected Evalueserve? (my previous organization)
valid,What business model changes, if any, have come in the last 3-4 years? In the last one year?
valid,Case question: A 3 G handset manufacturer wants to enter India. First he wants to understand the market for 3G handsets in India. Help him. (Case Type: New product launch, and market)
valid,Case statement: If you have to merge two companies what will you look at?( Case Type: M&A)
valid,Tell me about yourself
valid,Why consulting?
valid,What are your strength
valid,There is a cement company which is interested in increasing their profit/kg. How should they go about doing this?(Case Type: Profitability)
invalid,The\xc3\x82\xc2\xa0interview\xc3\x82\xc2\xa0first\xc3\x82\xc2\xa0asked\xc3\x82\xc2\xa0about\xc3\x82\xc2\xa0what\xc3\x82\xc2\xa0are\xc3\x82\xc2\xa0all\xc3\x82\xc2\xa0the\xc3\x82\xc2\xa0projects\xc3\x82\xc2\xa0which\xc3\x82\xc2\xa0I\xc3\x82\xc2\xa0had\xc3\x82\xc2\xa0done\xc3\x82\xc2\xa0so\xc3\x82\xc2\xa0far\xc3\x82\xc2\xa0and\xc3\x82\xc2\xa0 suddenly\xc3\x82\xc2\xa0she\xc3\x82\xc2\xa0asked\xc3\x82\xc2\xa0me\xc3\x82\xc2\xa0to\xc3\x82\xc2\xa0code\xc3\x82\xc2\xa0for\xc3\x82\xc2\xa0Priority\xc3\x82\xc2\xa0Queue\xc3\x82\xc2\xa0
valid,\xc3\x82\xc2\xa0Few\xc3\x82\xc2\xa0questions\xc3\x82\xc2\xa0on\xc3\x82\xc2\xa0BST\xc3\x82\xc2\xa0and\xc3\x82\xc2\xa0AVL\xc3\x82\xc2\xa0.\xc3\x82\xc2\xa0 a. What\xc3\x82\xc2\xa0is\xc3\x82\xc2\xa0AVL\xc3\x82\xc2\xa0and\xc3\x82\xc2\xa0why\xc3\x82\xc2\xa0it\xc3\x82\xc2\xa0is\xc3\x82\xc2\xa0known\xc3\x82\xc2\xa0to\xc3\x82\xc2\xa0be\xc3\x82\xc2\xa0??   b. What\xc3\x82\xc2\xa0is\xc3\x82\xc2\xa0the\xc3\x82\xc2\xa0best\xc3\x82\xc2\xa0case\xc3\x82\xc2\xa0complexity\xc3\x82\xc2\xa0of\xc3\x82\xc2\xa0a\xc3\x82\xc2\xa0binary\xc3\x82\xc2\xa0search\xc3\x82\xc2\xa0and\xc3\x82\xc2\xa0why\xc3\x82\xc2\xa0it\xc3\x82\xc2\xa0is\xc3\x82\xc2\xa0O(log\xc3\x82\xc2\xa0n)\xc3\x82\xc2\xa0.\xc3\x82\xc2\xa0Can\xc3\x82\xc2\xa0 you\xc3\x82\xc2\xa0explain\xc3\x82\xc2\xa0?
valid,\xc3\x82\xc2\xa0What is the\xc3\x82\xc2\xa0 difference\xc3\x82\xc2\xa0 between\xc3\x82\xc2\xa0 hash\xc3\x82\xc2\xa0 map\xc3\x82\xc2\xa0 and\xc3\x82\xc2\xa0 hash\xc3\x82\xc2\xa0 set\xc3\x82\xc2\xa0 . Explain\xc3\x82\xc2\xa0time\xc3\x82\xc2\xa0 complexity\xc3\x82\xc2\xa0in\xc3\x82\xc2\xa0each\xc3\x82\xc2\xa0??
invalid,I was\xc3\x82\xc2\xa0given\xc3\x82\xc2\xa0a\xc3\x82\xc2\xa0big\xc3\x82\xc2\xa0file\xc3\x82\xc2\xa0with\xc3\x82\xc2\xa0a\xc3\x82\xc2\xa0list\xc3\x82\xc2\xa0of\xc3\x82\xc2\xa0names\xc3\x82\xc2\xa0.\xc3\x82\xc2\xa0I\xc3\x82\xc2\xa0had\xc3\x82\xc2\xa0to\xc3\x82\xc2\xa0print\xc3\x82\xc2\xa0the\xc3\x82\xc2\xa0top\xc3\x82\xc2\xa010\xc3\x82\xc2\xa0names\xc3\x82\xc2\xa0based\xc3\x82\xc2\xa0on\xc3\x82\xc2\xa0 their\xc3\x82\xc2\xa0maximum\xc3\x82\xc2\xa0occurences
invalid,I was\xc3\x82\xc2\xa0 given\xc3\x82\xc2\xa0 a\xc3\x82\xc2\xa0 number\xc3\x82\xc2\xa0 and\xc3\x82\xc2\xa0 asked\xc3\x82\xc2\xa0 to\xc3\x82\xc2\xa0 find\xc3\x82\xc2\xa0 the\xc3\x82\xc2\xa0 sum\xc3\x82\xc2\xa0 of\xc3\x82\xc2\xa0 digits
invalid,Questions\xc3\x82\xc2\xa0on\xc3\x82\xc2\xa0polymorphism\xc3\x82\xc2\xa0,\xc3\x82\xc2\xa0overloading\xc3\x82\xc2\xa0and\xc3\x82\xc2\xa0overriding\xc3\x82\xc2\xa0with\xc3\x82\xc2\xa0suitable\xc3\x82\xc2\xa0examples\xc3\x82\xc2\xa0
valid,Define Threads\xc3\x82\xc2\xa0and\xc3\x82\xc2\xa0why\xc3\x82\xc2\xa0we\xc3\x82\xc2\xa0use\xc3\x82\xc2\xa0it\xc3\x82\xc2\xa0??
invalid,Round\xc3\x82\xc2\xa0robin\xc3\x82\xc2\xa0algorithm\xc3\x82\xc2\xa0with\xc3\x82\xc2\xa0example\xc3\x82\xc2\xa0.\xc3\x82\xc2\xa0
invalid,\xc3\x82\xc2\xa0Build\xc3\x82\xc2\xa0a\xc3\x82\xc2\xa0system\xc3\x82\xc2\xa0where\xc3\x82\xc2\xa0people\xc3\x82\xc2\xa0subscribe\xc3\x82\xc2\xa0to\xc3\x82\xc2\xa0a\xc3\x82\xc2\xa0particular\xc3\x82\xc2\xa0topic\xc3\x82\xc2\xa0.\xc3\x82\xc2\xa0And\xc3\x82\xc2\xa0if\xc3\x82\xc2\xa0any\xc3\x82\xc2\xa0message\xc3\x82\xc2\xa0is\xc3\x82\xc2\xa0 posted\xc3\x82\xc2\xa0regarding\xc3\x82\xc2\xa0the\xc3\x82\xc2\xa0particular\xc3\x82\xc2\xa0topic\xc3\x82\xc2\xa0then\xc3\x82\xc2\xa0the\xc3\x82\xc2\xa0people\xc3\x82\xc2\xa0who\xc3\x82\xc2\xa0have\xc3\x82\xc2\xa0subscribed\xc3\x82\xc2\xa0to\xc3\x82\xc2\xa0that\xc3\x82\xc2\xa0system\xc3\x82\xc2\xa0must\xc3\x82\xc2\xa0 get\xc3\x82\xc2\xa0 the\xc3\x82\xc2\xa0 message
invalid,\xc3\x82\xc2\xa0 Was asked  code\xc3\x82\xc2\xa0 for\xc3\x82\xc2\xa0 the\xc3\x82\xc2\xa0 entire\xc3\x82\xc2\xa0 system
invalid,Was\xc3\x82\xc2\xa0 asked\xc3\x82\xc2\xa0 to\xc3\x82\xc2\xa0 implement\xc3\x82\xc2\xa0 a\xc3\x82\xc2\xa0 vector\xc3\x82\xc2\xa0 .\xc3\x82\xc2\xa0 He\xc3\x82\xc2\xa0 asked\xc3\x82\xc2\xa0 how\xc3\x82\xc2\xa0 memory\xc3\x82\xc2\xa0 is\xc3\x82\xc2\xa0 dynamically\xc3\x82\xc2\xa0 allocated\xc3\x82\xc2\xa0in\xc3\x82\xc2\xa0vector\xc3\x82\xc2\xa0??\xc3\x82\xc2\xa0This\xc3\x82\xc2\xa0went\xc3\x82\xc2\xa0to\xc3\x82\xc2\xa0a\xc3\x82\xc2\xa0big\xc3\x82\xc2\xa0argument\xc3\x82\xc2\xa0and\xc3\x82\xc2\xa0finally\xc3\x82\xc2\xa0we\xc3\x82\xc2\xa0came\xc3\x82\xc2\xa0to\xc3\x82\xc2\xa0a\xc3\x82\xc2\xa0solution\xc3\x82\xc2\xa0.\xc3\x82\xc2\xa0The\xc3\x82\xc2\xa0next\xc3\x82\xc2\xa0 question\xc3\x82\xc2\xa0was\xc3\x82\xc2\xa0we\xc3\x82\xc2\xa0know\xc3\x82\xc2\xa0that\xc3\x82\xc2\xa0using\xc3\x82\xc2\xa0vector\xc3\x82\xc2\xa0we\xc3\x82\xc2\xa0can\xc3\x82\xc2\xa0access\xc3\x82\xc2\xa0an\xc3\x82\xc2\xa0element\xc3\x82\xc2\xa0in\xc3\x82\xc2\xa0O(1)\xc3\x82\xc2\xa0time\xc3\x82\xc2\xa0.\xc3\x82\xc2\xa0Now\xc3\x82\xc2\xa0what\xc3\x82\xc2\xa0will\xc3\x82\xc2\xa0 be\xc3\x82\xc2\xa0the\xc3\x82\xc2\xa0time\xc3\x82\xc2\xa0complexity\xc3\x82\xc2\xa0for\xc3\x82\xc2\xa0adding\xc3\x82\xc2\xa0or\xc3\x82\xc2\xa0removing\xc3\x82\xc2\xa0a\xc3\x82\xc2\xa0number\xc3\x82\xc2\xa0in\xc3\x82\xc2\xa0vector??
invalid,Is\xc3\x82\xc2\xa0virtual\xc3\x82\xc2\xa0constructors\xc3\x82\xc2\xa0available\xc3\x82\xc2\xa0?\xc3\x82\xc2\xa0what\xc3\x82\xc2\xa0about\xc3\x82\xc2\xa0Virtual\xc3\x82\xc2\xa0destructors\xc3\x82\xc2\xa0?\xc3\x82\xc2\xa0Why\xc3\x82\xc2\xa0it\xc3\x82\xc2\xa0is\xc3\x82\xc2\xa0used\xc3\x82\xc2\xa0???
invalid,Was asked\xc3\x82\xc2\xa0 how\xc3\x82\xc2\xa0 recursion\xc3\x82\xc2\xa0 works\xc3\x82\xc2\xa0 and\xc3\x82\xc2\xa0 stack\xc3\x82\xc2\xa0 is\xc3\x82\xc2\xa0 allocated\xc3\x82\xc2\xa0 for\xc3\x82\xc2\xa0 it\xc3\x82\xc2\xa0 ?\xc3\x82\xc2\xa0 Can\xc3\x82\xc2\xa0 all\xc3\x82\xc2\xa0 recursions\xc3\x82\xc2\xa0 be\xc3\x82\xc2\xa0 converted\xc3\x82\xc2\xa0to\xc3\x82\xc2\xa0looping\xc3\x82\xc2\xa0structures\xc3\x82\xc2\xa0?
valid,Explain Virtual\xc3\x82\xc2\xa0memory\xc3\x82\xc2\xa0\xc3\x82\xc2\xad\xc3\x82\xc2\xa0and\xc3\x82\xc2\xa0why\xc3\x82\xc2\xa0it is needed\xc3\x82\xc2\xa0?
invalid,Difference\xc3\x82\xc2\xa0between\xc3\x82\xc2\xa0abstract\xc3\x82\xc2\xa0classes\xc3\x82\xc2\xa0and\xc3\x82\xc2\xa0interfaces\xc3\x82\xc2\xa0
invalid,Question\xc3\x82\xc2\xa0regarding\xc3\x82\xc2\xa0my\xc3\x82\xc2\xa0buffer\xc3\x82\xc2\xa0allocation\xc3\x82\xc2\xa0project\xc3\x82\xc2\xa0
valid,What is virtualization\xc3\x82\xc2\xa0and\xc3\x82\xc2\xa0to\xc3\x82\xc2\xa0give\xc3\x82\xc2\xa0an\xc3\x82\xc2\xa0example
valid,Which OS i'm comfortble with
valid,Write\xc3\x82\xc2\xa0down\xc3\x82\xc2\xa0a\xc3\x82\xc2\xa0 simple\xc3\x82\xc2\xa0Hello\xc3\x82\xc2\xa0World\xc3\x82\xc2\xa0program\xc3\x82\xc2\xa0in\xc3\x82\xc2\xa0C
valid,Simple\xc3\x82\xc2\xa0code\xc3\x82\xc2\xa0on\xc3\x82\xc2\xa0Inorder\xc3\x82\xc2\xa0traversal\xc3\x82\xc2\xa0of\xc3\x82\xc2\xa0a\xc3\x82\xc2\xa0tree
invalid,What\xc3\x82\xc2\xa0is\xc3\x82\xc2\xa0the\xc3\x82\xc2\xa0height\xc3\x82\xc2\xa0of\xc3\x82\xc2\xa0a\xc3\x82\xc2\xa0balanced\xc3\x82\xc2\xa0BST
valid,An\xc3\x82\xc2\xa0array\xc3\x82\xc2\xa0of\xc3\x82\xc2\xa0n\xc3\x82\xc2\xa0numbers\xc3\x82\xc2\xa0is\xc3\x82\xc2\xa0given\xc3\x82\xc2\xa0in\xc3\x82\xc2\xa0which\xc3\x82\xc2\xa0one\xc3\x82\xc2\xa0of\xc3\x82\xc2\xa0the\xc3\x82\xc2\xa0numbers\xc3\x82\xc2\xa0is\xc3\x82\xc2\xa0repeated find\xc3\x82\xc2\xa0that\xc3\x82\xc2\xa0number
valid,How many pizzas will be sold each month if Pizza Hut comes to IIT Kharagpur?
invalid,They asked about my internships, Projects I had done
valid,Introduce yourself.
valid,Being from a non-CS background (Civil Engineering branch), he asked me which coding language i am best at
valid,Find the second largest prime number from a given array of positive integers. Also return it's index in most optimal way
valid,Given an array of positive and negative integers, find the first missing positive number in the most optimal way
valid,Which data structure would i use to program a jigsaw puzzle program and what methods would i use to solve the puzzle
invalid,Asked me questions based on my CV
valid,If a person travels from point A to point B at 20 km/h and returns at 30 km/h, calculate the average speed without using pen and paper.
valid,Asked the above question with different speeds to travelling
valid,Given 8 balls of the same properties and one of these balls is defective and is heavier than the others. Calculate the minimum no. of steps to find the defective ball
valid,Asked the above question, but this time we don't know whether the defective ball is heavier or lighter than the others
valid,20 red balls and 16 blue balls are present in a bag. 2 balls are removed, if they are of the same color, then they are replaced by a red ball. If they are of different color, then they are replaced with a blue ball. Find the last ball to remain after the entire process
valid,What is polymorphism with examples
valid,What is operator overloading?. Give an example
valid,Differentiate between method overloading and method overriding
valid,Do you have any question for us?
invalid,Questions based on my resume
valid,What do i know about Times Internet and the work that happens in TIL
valid,Why was i opting for a job as software developer though i was from Civil Engineering background
valid,Tell me about yourself
valid,Programs like count the frequency of every alphabet in a string
invalid,simple probability questions
invalid,simple MySQL queries
valid,1 puzzle - In a truck, we can load max. 1000kg, we have 2 types of bags - 15kg, 25kg. The difference between number of bags of each type can be max. 4 . Find an optimum loading
valid,Tell me about yourself, a program - from a file, read a line having numbers separated by commas , eg- "245,362,245,183..." print 5 most numbers occuring the maximum number of times
valid,Tell me about yourself, a program to take an input a date in string in the format "06-DEC-2015" and a number n, and add n number of days to the date
valid,puzzle 1 : you have 7,7,7,7 (four 7s) and '+', '-' ,'/' ,'*' , '.' . Make 100 using these. puzzle 2 :  you have 3 types of items . One costs Rs.5 , one costs Rs 1, and the last costs Rs 0.2 . You have to buy 100 items in total so that total bill is Rs 100 , such that you have atleast 1 item of each type. Then questions like why oracle , your strengths, why should we hire you , etc
valid,Sorting an array of strings
invalid,Bumblebee puzzle
invalid,Guess estimation
invalid,Mostly about life decisions
invalid,Technical + HR Inteview
valid,what is precompilaion unit?
valid,about ur future,ur short term goal,why this company
invalid,Case Study on an FMCG
invalid,Case Study on a Retail Chain
valid,How does ping command work ?
valid,What is nmap, how to use it ?
valid,Explain man command in unix
valid,TCP and UDP
valid,What is SSH reverse tunneling ?
valid,Given a server IP, how would you go about rooting it ?
valid,XSS and XSRF
invalid,Standard puzzles
valid,Standard HR questions -Tell me about yourself,Your family background.your future plans etc
valid,Tell me about yourself, Why join Amex being from Mechanical background? , Solve a puzzle for me
invalid,He\xc3\x82\xc2\xa0asked\xc3\x82\xc2\xa0me\xc3\x82\xc2\xa0difference\xc3\x82\xc2\xa0between\xc3\x82\xc2\xa0static\xc3\x82\xc2\xa0and\xc3\x82\xc2\xa0dynamic\xc3\x82\xc2\xa0linking
valid,He\xc3\x82\xc2\xa0asked\xc3\x82\xc2\xa0me\xc3\x82\xc2\xa0to\xc3\x82\xc2\xa0define\xc3\x82\xc2\xa0a\xc3\x82\xc2\xa0macro\xc3\x82\xc2\xa0to\xc3\x82\xc2\xa0add\xc3\x82\xc2\xa0two\xc3\x82\xc2\xa0numbers
valid,Then\xc3\x82\xc2\xa0asked\xc3\x82\xc2\xa0to\xc3\x82\xc2\xa0do\xc3\x82\xc2\xa0the\xc3\x82\xc2\xa0same\xc3\x82\xc2\xa0above\xc3\x82\xc2\xa0using\xc3\x82\xc2\xa0inline\xc3\x82\xc2\xa0functions
valid,Asked\xc3\x82\xc2\xa0me\xc3\x82\xc2\xa0the\xc3\x82\xc2\xa0difference\xc3\x82\xc2\xa0between\xc3\x82\xc2\xa0macro\xc3\x82\xc2\xa0and\xc3\x82\xc2\xa0inline\xc3\x82\xc2\xa0functions
invalid,Next\xc3\x82\xc2\xa0one\xc3\x82\xc2\xa0was\xc3\x82\xc2\xa0where\xc3\x82\xc2\xa0will\xc3\x82\xc2\xa0the\xc3\x82\xc2\xa0auto\xc3\x82\xc2\xa0variables\xc3\x82\xc2\xa0be\xc3\x82\xc2\xa0stored?
invalid,Then\xc3\x82\xc2\xa0dynamically\xc3\x82\xc2\xa0allocated\xc3\x82\xc2\xa0variables\xc3\x82\xc2\xa0..\xc3\x82\xc2\xa0where\xc3\x82\xc2\xa0will\xc3\x82\xc2\xa0the\xc3\x82\xc2\xa0be\xc3\x82\xc2\xa0stored?
invalid,Allocate\xc3\x82\xc2\xa0memory\xc3\x82\xc2\xa0for\xc3\x82\xc2\xa0a\xc3\x82\xc2\xa0single\xc3\x82\xc2\xa0dimensional\xc3\x82\xc2\xa0array\xc3\x82\xc2\xa0and\xc3\x82\xc2\xa0two\xc3\x82\xc2\xa0dimensional\xc3\x82\xc2\xa0array\xc3\x82\xc2\xa0 dynamically
valid,How\xc3\x82\xc2\xa0will\xc3\x82\xc2\xa0u\xc3\x82\xc2\xa0access\xc3\x82\xc2\xa0private\xc3\x82\xc2\xa0data\xc3\x82\xc2\xa0members\xc3\x82\xc2\xa0outside\xc3\x82\xc2\xa0class?I\xc3\x82\xc2\xa0told\xc3\x82\xc2\xa0friend\xc3\x82\xc2\xa0functions.He\xc3\x82\xc2\xa0asked\xc3\x82\xc2\xa0 me\xc3\x82\xc2\xa0any\xc3\x82\xc2\xa0other\xc3\x82\xc2\xa0way?Another\xc3\x82\xc2\xa0way\xc3\x82\xc2\xa0is\xc3\x82\xc2\xa0also\xc3\x82\xc2\xa0there.But\xc3\x82\xc2\xa0i\xc3\x82\xc2\xa0forgot\xc3\x82\xc2\xa0it\xc3\x82\xc2\xa0at\xc3\x82\xc2\xa0that\xc3\x82\xc2\xa0time.\xc3\x82\xc2\xa0So\xc3\x82\xc2\xa0i\xc3\x82\xc2\xa0just\xc3\x82\xc2\xa0tackled
invalid,When\xc3\x82\xc2\xa0will\xc3\x82\xc2\xa0u\xc3\x82\xc2\xa0get\xc3\x82\xc2\xa0segmentation\xc3\x82\xc2\xa0fault?I\xc3\x82\xc2\xa0told\xc3\x82\xc2\xa0when\xc3\x82\xc2\xa0pointer\xc3\x82\xc2\xa0is\xc3\x82\xc2\xa0not\xc3\x82\xc2\xa0dealt\xc3\x82\xc2\xa0properly.If\xc3\x82\xc2\xa0your\xc3\x82\xc2\xa0 interviewer\xc3\x82\xc2\xa0is\xc3\x82\xc2\xa0cunning\xc3\x82\xc2\xa0he\xc3\x82\xc2\xa0will\xc3\x82\xc2\xa0expect\xc3\x82\xc2\xa0illegal\xc3\x82\xc2\xa0memory\xc3\x82\xc2\xa0access\xc3\x82\xc2\xa0as\xc3\x82\xc2\xa0the\xc3\x82\xc2\xa0answer
